OBJECTID,Id,Name,Address,created_user,created_date,last_edited_user,last_edited_date,GlobalID,x,y
1,14,14,2801 Selma Hwy,,,NPJACKSON,"7/10/25, 5:02 PM",{943B56D8-8A03-4E04-A7BE-E98401460940},-86.358,32.311
2,2,2,405 S. Holt St,,,NPJACKSON,"7/10/25, 5:02 PM",{054F7812-6299-48EC-9D47-081AD82935BD},-86.321,32.373
3,3,3,4110 Carmichael Rd,,,NPJACKSON,"7/10/25, 5:02 PM",{50355649-929E-4EF5-AC7A-27D26593CFFF},-86.242,32.356
4,4,4,1300 Air Base Blvd,,,NPJACKSON,"7/10/25, 5:02 PM",{300E9BC2-A043-4117-83E7-49DB0F7BE49F},-86.345,32.348
5,5,5,2710 Lagoon Park Dr,,,NPJACKSON,"7/10/25, 5:02 PM",{403F81F8-19DA-4046-B44F-7AED1F27FCD0},-86.225,32.4
6,6,6,1250 Forest Ave,,,NPJACKSON,"7/10/25, 5:02 PM",{CAB9F7E6-BC91-42EE-8477-3AED33911793},-86.287,32.367
7,7,7,1329 E. Fairview Ave,,,NPJACKSON,"7/10/25, 5:02 PM",{7D20C7C3-40C5-4D1A-BBFD-F01A6ACE7BF4},-86.287,32.352
8,8,8,2700 Lower Wetumpka Rd,,,NPJACKSON,"7/10/25, 5:02 PM",{567E3675-4D50-4414-BBD9-376D69DEF7A3},-86.286,32.413
9,9,9,3003 E. South Blvd,,,ABENEFIELD,"7/25/25, 6:06 PM",{A5969AFD-87B2-4ED8-AC8E-4543C432A5BD},-86.244,32.329
10,10,10,1920 S Court St,,,NPJACKSON,"7/10/25, 5:02 PM",{B7C452F6-F0DA-47FB-BE13-C7199E8E379E},-86.309,32.353
11,11,11,3305 Biltmore Ave,,,NPJACKSON,"7/10/25, 5:02 PM",{95432B06-E4C8-4A33-840C-ACDF62F910CA},-86.258,32.393
12,12,12,3950 Norman Bridge Rd,,,NPJACKSON,"7/10/25, 5:02 PM",{BF9B1235-085C-4E8A-94A6-F56E4817CE3A},-86.3,32.327
13,13,13,2685 Bell Rd,,,NPJACKSON,"7/10/25, 5:02 PM",{E18FCF2D-4CFF-4078-BC37-790A29D6BF7F},-86.195,32.342
14,15,15,441 Taylor Rd,,,NPJACKSON,"7/10/25, 5:02 PM",{6B601227-47CF-4564-A5D0-67640991D8EC},-86.171,32.375
15,16,16,820 Ray Thorington Rd,,,NPJACKSON,"7/10/25, 5:02 PM",{B6E6B599-D75A-4448-8283-6D25C8138C4F},-86.144,32.321
