X,Y,OBJECTID,custCOMPANY_NAME,ADDRESS,Naloxone,Vaccination,DriveThrough,Consultation
513484.836575568,682458.088108473,1,Adams Drugs,934 ADAMS AVE,NO,YES,NO,YES
528602.816765163,685624.710678779,3,Jone Drugs - Dalraida,3881 ATLANTA HWY,NO,YES,NO,YES
525414.895087257,686304.240346521,7,CVS PHARMACY,3465 ATLANTA HWY,YES,YES,YES,YES
548898.404550508,684663.522906259,8,Walgreen,6680 ATLANTA HWY,YES,YES,YES,YES
528538.202861592,685035.082614936,9,Walgreen,3892 ATLANTA HWY,YES,YES,YES,YES
555289.501646847,676927.491568103,12,CVS PHARMACY,2576 BERRYHILL RD,YES,YES,NO,YES
522997.215783279,673935.663803622,17,Walgreen,2920 CARTER HILL RD,YES,YES,YES,YES
551932.469837449,682441.455564737,19,Adams Drugs - Copperfield,7200 COPPERFIELD DR,NO,YES,NO,YES
522571.671264626,665104.242082871,22,Walgreen #6843,2281 E SOUTH BLVD,YES,YES,YES,YES
518650.088226356,665338.281060733,23,Baptist Tower Health,2055 E SOUTH BLVD,NO,YES,YES,YES
562158.375523273,676897.422658183,25,Adams Drugs Chantilly Corner,9168 EASTCHASE PKWY,NO,YES,NO,YES
509053.586257253,673779.301079251,31,Jone Drugs - Fairview,59 FAIRVIEW AVE W,NO,YES,NO,YES
524442.492387336,668522.104242772,36,Adams Drugs - McGehee,3016 MCGEHEE RD,NO,YES,NO,YES
529342.29461702,685367.306512199,37,Adams Drugs - Mitchell,35 MITCHELL DR,NO,YES,NO,YES
496433.314126447,658214.12189611,38,CVS PHARMACY,4790 MOBILE HWY,YES,YES,YES,YES
516770.19696046,679867.220529966,41,Jackson Hospital Apothecary,1758 PARK PL,NO,YES,NO,YES
529858.896964122,675153.900067121,42,Adams Drugs Perry Hill Place,1633 PERRY HILL RD,NO,YES,NO,YES
554772.147766829,668758.978696257,45,CVS PHARMACY,55 RAY THORINGTON RD,YES,YES,YES,YES
506765.506671716,673743.894144744,46,CVS PHARMACY,3000 ROSA L PARKS AVE,YES,YES,YES,YES
549038.475737583,668803.8535446,50,Walgreen,3110 TAYLOR RD,YES,YES,YES,YES
544037.215870168,669547.888178818,54,CVS PHARMACY,6891 VAUGHN RD,YES,YES,YES,YES
523144.0279404,674248.772823587,60,CVS PHARMACY,3190 ZELDA RD,YES,YES,YES,YES
522618.068277229,675221.050419845,62,Publix Pharmacy at Zelda Place,3026 ZELDA RD,YES,YES,NO,YES
530066.966570247,685393.889698893,63,Publix Pharmacy at Dalraida Commons,4045 ATLANTA HWY,YES,YES,NO,YES
548301.891359549,668320.670684911,64,Publix Pharmacy at Cornerstone,7700 VAUGHN RD,YES,YES,NO,YES
551753.379778914,684462.133893959,65,Publix Pharmacy at Taylor Junction,7076 ATLANTA HWY,YES,YES,NO,YES
575861.841620795,672699.35475108,66,Publix Pharmacy at Shops at Pike Road,9515 VAUGHN RD,YES,YES,NO,YES
521877.66745612,680698.577889062,67,Walmart Pharmacy,851 ANN ST,YES,YES,YES,YES
522353.477912921,692327.59980724,68,Walmart Pharmacy,1600 FEDERAL DR,YES,YES,YES,YES
532951.305072282,664404.965015158,69,Walmart Pharmacy,3801 EASTERN BLVD,YES,YES,YES,YES
550604.685118213,669588.827468857,70,Walmart Pharmacy,8035 VAUGHN RD,YES,YES,YES,YES
547671.215674434,685873.542656794,71,Walmart Pharmacy,6495 ATLANTA HWY,YES,YES,YES,YES
563050.063738286,674753.754383221,72,Walmart Pharmacy,10710 CHANTILLY PKWY,YES,YES,YES,YES
